,Source,Location ID,Latitude,Longitude,Elevation,Year,Month,Day,Hour,Minute,GHI (w/m2),Temperature (c),Relative Humidity (%),Solar Zenith Angle (Degree),Wind Direction (Degree),Wind Speed (m/s)
0,NSRDB,405740,33.49,-107.74,2165,2015,1,1,0,30,0,-5.469732666015602,73.3980484008789,93.95403858263548,166.15380859375,3.008875608444214
1,NSRDB,405740,33.49,-107.74,2165,2015,1,1,1,30,0,-6.245550537109352,76.74638366699219,105.59431102515603,163.19430541992188,2.9949655532836914
2,NSRDB,405740,33.49,-107.74,2165,2015,1,1,2,30,0,-6.931158447265602,79.60509490966797,117.71669308664232,159.20159912109375,2.9950075149536133
3,NSRDB,405740,33.49,-107.74,2165,2015,1,1,3,30,0,-7.641546630859352,82.77730560302734,130.12175761820933,154.27157592773438,2.9631271362304688
4,NSRDB,405740,33.49,-107.74,2165,2015,1,1,4,30,0,-8.355871582031227,86.0450668334961,142.6128989947968,151.73541259765625,2.929386615753174
5,NSRDB,405740,33.49,-107.74,2165,2015,1,1,5,30,0,-8.839300537109352,87.6947021484375,154.8614582940838,151.8753662109375,2.845581531524658
6,NSRDB,405740,33.49,-107.74,2165,2015,1,1,6,30,0,-9.038671874999977,87.69696807861328,165.71128700704259,153.8353271484375,2.797393321990967
7,NSRDB,405740,33.49,-107.74,2165,2015,1,1,7,30,0,-9.067877197265602,87.9146728515625,168.9758049401177,157.87350463867188,2.86472749710083
8,NSRDB,405740,33.49,-107.74,2165,2015,1,1,8,30,0,-8.918188476562477,88.96792602539062,160.3688596204258,165.7549591064453,3.1147642135620117
9,NSRDB,405740,33.49,-107.74,2165,2015,1,1,9,30,0,-8.635137939453102,91.4262924194336,148.51171505505562,178.89984130859375,3.4623517990112305
10,NSRDB,405740,33.49,-107.74,2165,2015,1,1,10,30,0,-8.247686767578102,94.35536193847656,136.0733106580245,200.14169311523438,3.7822837829589844
11,NSRDB,405740,33.49,-107.74,2165,2015,1,1,11,30,0,-7.756384277343727,96.01322937011719,123.59639713844717,222.5291290283203,3.8997769355773926
12,NSRDB,405740,33.49,-107.74,2165,2015,1,1,12,30,0,-7.465002441406227,96.66476440429688,111.31177085350463,232.52197265625,3.766930103302002
13,NSRDB,405740,33.49,-107.74,2165,2015,1,1,13,30,0,-7.236029052734352,95.27696990966797,99.40825857763079,236.10958862304688,3.677344799041748
14,NSRDB,405740,33.49,-107.74,2165,2015,1,1,14,30,26,-6.078375244140602,86.76678466796875,88.10841771711871,238.26608276367188,3.6804375648498535
15,NSRDB,405740,33.49,-107.74,2165,2015,1,1,15,30,209,-3.9849914550781023,71.52558898925781,77.73124063304353,239.94300842285156,3.7865734100341797
16,NSRDB,405740,33.49,-107.74,2165,2015,1,1,16,30,392,-1.8294738769531023,57.153297424316406,68.72326294570641,241.167236328125,3.9116334915161133
17,NSRDB,405740,33.49,-107.74,2165,2015,1,1,17,30,532,-0.07706298828122726,48.982784271240234,61.71422885235363,240.87789916992188,3.9341139793395996
18,NSRDB,405740,33.49,-107.74,2165,2015,1,1,18,30,614,1.0126281738281477,47.047515869140625,57.45743480466863,240.83145141601562,3.913834810256958
19,NSRDB,405740,33.49,-107.74,2165,2015,1,1,19,30,630,1.4433227539062727,48.0333251953125,56.586394752623974,240.7798309326172,3.7748327255249023
20,NSRDB,405740,33.49,-107.74,2165,2015,1,1,20,30,579,1.3369995117187727,49.341678619384766,59.25225968883943,241.29444885253906,3.5864689350128174
21,NSRDB,405740,33.49,-107.74,2165,2015,1,1,21,30,465,0.6740966796875227,51.0220947265625,65.01689434758018,241.2238311767578,3.3500001430511475
22,NSRDB,405740,33.49,-107.74,2165,2015,1,1,22,30,300,-0.7467102050781023,54.745792388916016,73.1414445812993,241.57611083984375,2.8905837535858154
23,NSRDB,405740,33.49,-107.74,2165,2015,1,1,23,30,108,-2.4501403808593523,62.14132308959961,82.92001123277916,241.2588348388672,2.2541275024414062
24,NSRDB,405740,33.49,-107.74,2165,2015,1,2,0,30,0,-3.4244140624999773,69.10993194580078,93.81813502913566,239.738525390625,1.6039412021636963
25,NSRDB,405740,33.49,-107.74,2165,2015,1,2,1,30,0,-3.8408264160156023,71.69200897216797,105.45916750447984,246.73028564453125,0.9790253043174744
26,NSRDB,405740,33.49,-107.74,2165,2015,1,2,2,30,0,-4.625494384765602,72.93482971191406,117.58261224279134,272.33795166015625,0.6239532828330994
27,NSRDB,405740,33.49,-107.74,2165,2015,1,2,3,30,0,-5.411444091796852,72.39111328125,129.98841749803483,0.8410110473632812,0.8081523776054382
28,NSRDB,405740,33.49,-107.74,2165,2015,1,2,4,30,0,-5.931799316406227,73.60045623779297,142.47929067820755,40.384944915771484,1.1483643054962158
29,NSRDB,405740,33.49,-107.74,2165,2015,1,2,5,30,0,-6.520758056640602,77.53599548339844,154.7257968940657,56.92516326904297,1.3119821548461914
30,NSRDB,405740,33.49,-107.74,2165,2015,1,2,6,30,0,-7.017492675781227,80.79486846923828,165.57713593788742,64.81779479980469,1.3975993394851685
31,NSRDB,405740,33.49,-107.74,2165,2015,1,2,7,30,0,-7.383184814453102,84.37872314453125,168.92673305813074,66.38396453857422,1.5330955982208252
32,NSRDB,405740,33.49,-107.74,2165,2015,1,2,8,30,0,-7.592047119140602,87.51966857910156,160.40504739805078,63.81138610839844,1.7752431631088257
33,NSRDB,405740,33.49,-107.74,2165,2015,1,2,9,30,0,-7.643896484374977,89.21886444091797,148.56900836381453,59.570655822753906,2.040088653564453
34,NSRDB,405740,33.49,-107.74,2165,2015,1,2,10,30,0,-7.660253906249977,89.23088836669922,136.13479257054036,58.388038635253906,2.244384765625
35,NSRDB,405740,33.49,-107.74,2165,2015,1,2,11,30,0,-7.603491210937477,87.51126861572266,123.65577794777778,59.734580993652344,2.4284420013427734
36,NSRDB,405740,33.49,-107.74,2165,2015,1,2,12,30,0,-7.471441650390602,84.98302459716797,111.36531260997396,63.09958267211914,2.5720772743225098
37,NSRDB,405740,33.49,-107.74,2165,2015,1,2,13,30,0,-7.199194335937477,82.5619125366211,99.45272922219495,67.51126861572266,2.6138134002685547
38,NSRDB,405740,33.49,-107.74,2165,2015,1,2,14,30,8,-6.235174560546852,78.98882293701172,88.14025377282296,70.80236053466797,2.517261028289795
39,NSRDB,405740,33.49,-107.74,2165,2015,1,2,15,30,72,-4.342077636718727,74.24122619628906,77.74618442421685,72.8544921875,2.493210792541504
40,NSRDB,405740,33.49,-107.74,2165,2015,1,2,16,30,57,-2.1599487304687273,69.5650863647461,68.71610700931534,80.80216217041016,2.5126235485076904
41,NSRDB,405740,33.49,-107.74,2165,2015,1,2,17,30,122,-0.5690368652343523,65.74467468261719,61.67955932160694,87.21107482910156,2.3125147819519043
42,NSRDB,405740,33.49,-107.74,2165,2015,1,2,18,30,106,0.14080200195314774,63.587318420410156,57.391765525947356,92.08587646484375,1.953296184539795
43,NSRDB,405740,33.49,-107.74,2165,2015,1,2,19,30,268,0.34835205078127274,62.983089447021484,56.491202645467915,96.3426742553711,1.5683927536010742
44,NSRDB,405740,33.49,-107.74,2165,2015,1,2,20,30,136,0.14870605468752274,64.0534439086914,59.13453739188557,99.30436706542969,1.1612132787704468
45,NSRDB,405740,33.49,-107.74,2165,2015,1,2,21,30,35,-0.44135131835935226,66.23358917236328,64.88559526880913,80.82498931884766,0.8517336845397949
46,NSRDB,405740,33.49,-107.74,2165,2015,1,2,22,30,16,-1.1740173339843523,68.17195892333984,73.00376471388698,27.57146453857422,1.0067954063415527
47,NSRDB,405740,33.49,-107.74,2165,2015,1,2,23,30,63,-1.7726806640624773,69.6613998413086,82.7803969185076,354.96234130859375,1.4968065023422241
48,NSRDB,405740,33.49,-107.74,2165,2015,1,3,0,30,0,-2.1121276855468523,70.56281280517578,93.67884842925288,347.3398742675781,1.9248876571655273
49,NSRDB,405740,33.49,-107.74,2165,2015,1,3,1,30,0,-2.4054626464843523,71.7947006225586,105.32120339097256,344.4424743652344,2.235503911972046
50,NSRDB,405740,33.49,-107.74,2165,2015,1,3,2,30,0,-2.7062133789062273,73.77218627929688,117.44611626222772,340.9935302734375,2.5457699298858643
51,NSRDB,405740,33.49,-107.74,2165,2015,1,3,3,30,0,-2.9545349121093523,75.62928771972656,129.85288437592058,341.0646057128906,2.9596664905548096
52,NSRDB,405740,33.49,-107.74,2165,2015,1,3,4,30,0,-3.1622680664062273,76.50578308105469,142.34344099073775,341.3973083496094,3.5039384365081787
53,NSRDB,405740,33.49,-107.74,2165,2015,1,3,5,30,0,-3.3427490234374773,75.04139709472656,154.58729986695383,340.46630859375,4.12870979309082
54,NSRDB,405740,33.49,-107.74,2165,2015,1,3,6,30,0,-3.6083435058593523,70.86638641357422,165.43797711208012,337.3578186035156,4.692773818969727
55,NSRDB,405740,33.49,-107.74,2165,2015,1,3,7,30,0,-4.199591064453102,66.30760192871094,168.86865152289081,332.07000732421875,5.049899578094482
56,NSRDB,405740,33.49,-107.74,2165,2015,1,3,8,30,0,-5.059545898437477,63.823081970214844,160.43489948719107,325.2789306640625,5.216419696807861
57,NSRDB,405740,33.49,-107.74,2165,2015,1,3,9,30,0,-5.877203369140602,62.98775100708008,148.62135031861618,316.47259521484375,5.348781585693359
58,NSRDB,405740,33.49,-107.74,2165,2015,1,3,10,30,0,-6.568609619140602,62.33710479736328,136.19172273558138,309.274658203125,5.518833160400391
59,NSRDB,405740,33.49,-107.74,2165,2015,1,3,11,30,0,-7.175177001953102,61.40044403076172,123.71060982232282,305.725341796875,5.675656318664551
60,NSRDB,405740,33.49,-107.74,2165,2015,1,3,12,30,0,-7.669683837890602,60.4820442199707,111.41410133623408,305.23602294921875,5.801650047302246
61,NSRDB,405740,33.49,-107.74,2165,2015,1,3,13,30,0,-7.802709960937477,59.597408294677734,99.49210547135954,306.01678466796875,5.911949157714844
62,NSRDB,405740,33.49,-107.74,2165,2015,1,3,14,30,25,-6.719335937499977,58.743202209472656,88.16655227670955,307.44830322265625,5.878100395202637
63,NSRDB,405740,33.49,-107.74,2165,2015,1,3,15,30,207,-4.340673828124977,58.46192169189453,77.75505623548564,309.8482666015625,5.699841499328613
64,NSRDB,405740,33.49,-107.74,2165,2015,1,3,16,30,389,-1.6373657226562273,57.28499221801758,68.7023091160526,311.5302429199219,5.626604080200195
65,NSRDB,405740,33.49,-107.74,2165,2015,1,3,17,30,528,0.5728393554687727,55.92826461791992,61.63773730732124,312.5684814453125,5.656156539916992
66,NSRDB,405740,33.49,-107.74,2165,2015,1,3,18,30,610,1.9170166015625227,57.41339874267578,57.31866455600359,313.5007019042969,5.624663352966309
67,NSRDB,405740,33.49,-107.74,2165,2015,1,3,19,30,626,2.5742736816406477,60.416351318359375,56.38871927839484,315.0666809082031,5.507279396057129
68,NSRDB,405740,33.49,-107.74,2165,2015,1,3,20,30,576,2.7321716308593977,62.77011489868164,59.0101255274936,317.15496826171875,5.265139579772949
69,NSRDB,405740,33.49,-107.74,2165,2015,1,3,21,30,465,2.3496643066406477,64.94808959960938,64.74849692805266,316.75848388671875,4.905858039855957
70,NSRDB,405740,33.49,-107.74,2165,2015,1,3,22,30,303,1.1300903320312727,68.4685287475586,72.86123170616222,315.1969909667969,4.606902122497559
71,NSRDB,405740,33.49,-107.74,2165,2015,1,3,23,30,112,-0.6433471679687273,73.07394409179688,82.63677943745847,314.6446838378906,4.4890336990356445
72,NSRDB,405740,33.49,-107.74,2165,2015,1,4,0,30,0,-1.8678955078124773,76.56407165527344,93.53628506522661,315.4891052246094,4.4996562004089355
73,NSRDB,405740,33.49,-107.74,2165,2015,1,4,1,30,0,-2.4809631347656023,78.91465759277344,105.18052452616459,318.41748046875,4.532774925231934
74,NSRDB,405740,33.49,-107.74,2165,2015,1,4,2,30,0,-3.0328430175781023,80.63945770263672,117.30730792834684,322.0823059082031,4.546370506286621
75,NSRDB,405740,33.49,-107.74,2165,2015,1,4,3,30,0,-3.5359252929687273,81.76216125488281,129.71525603244993,323.8642883300781,4.531986236572266
76,NSRDB,405740,33.49,-107.74,2165,2015,1,4,4,30,0,-3.9953063964843523,82.77189636230469,142.20544170948313,325.4066467285156,4.499452590942383
77,NSRDB,405740,33.49,-107.74,2165,2015,1,4,5,30,0,-4.440069580078102,83.96141815185547,154.44605664685346,328.67608642578125,4.410516738891602
78,NSRDB,405740,33.49,-107.74,2165,2015,1,4,6,30,0,-4.897741699218727,85.27979278564453,165.29393407448623,332.10980224609375,4.157646656036377
79,NSRDB,405740,33.49,-107.74,2165,2015,1,4,7,30,0,-5.337042236328102,86.48301696777344,168.80156196993678,333.5234375,3.784121513366699
80,NSRDB,405740,33.49,-107.74,2165,2015,1,4,8,30,0,-5.711920166015602,87.24195098876953,160.4582490353477,334.0699157714844,3.4441452026367188
81,NSRDB,405740,33.49,-107.74,2165,2015,1,4,9,30,0,-6.000769042968727,87.3125,148.6685991470698,334.9415283203125,3.2005202770233154
82,NSRDB,405740,33.49,-107.74,2165,2015,1,4,10,30,0,-6.200628662109352,86.60631561279297,136.24398221757437,337.44647216796875,3.0407772064208984
83,NSRDB,405740,33.49,-107.74,2165,2015,1,4,11,30,0,-6.309118652343727,84.95207214355469,123.76079171567085,341.3218994140625,2.9426236152648926
84,NSRDB,405740,33.49,-107.74,2165,2015,1,4,12,30,0,-6.342199707031227,81.9855728149414,111.45805198460248,344.7999267578125,2.837355613708496
85,NSRDB,405740,33.49,-107.74,2165,2015,1,4,13,30,0,-5.997106933593727,76.08419036865234,99.52631816048314,345.88568115234375,2.6182861328125
86,NSRDB,405740,33.49,-107.74,2165,2015,1,4,14,30,25,-3.9696411132812273,68.86518859863281,88.18724874914878,344.81414794921875,2.171121597290039
87,NSRDB,405740,33.49,-107.74,2165,2015,1,4,15,30,211,-0.8561767578124773,63.0366325378418,77.75781957485627,346.72747802734375,1.413371205329895
88,NSRDB,405740,33.49,-107.74,2165,2015,1,4,16,30,396,2.2745910644531477,55.951595306396484,68.68185337798427,347.3481140136719,0.49306339025497437
89,NSRDB,405740,33.49,-107.74,2165,2015,1,4,17,30,539,4.905389404296898,49.93120574951172,61.58876685843539,134.6096649169922,0.40591564774513245
90,NSRDB,405740,33.49,-107.74,2165,2015,1,4,18,30,621,6.386529541015648,47.03376007080078,57.238155108252556,179.06106567382812,0.8930573463439941
91,NSRDB,405740,33.49,-107.74,2165,2015,1,4,19,30,638,7.090447998046898,46.070003509521484,56.278987652627514,203.14437866210938,1.0451136827468872
92,NSRDB,405740,33.49,-107.74,2165,2015,1,4,20,30,587,7.013909912109398,46.98146057128906,58.87908754441197,216.42617797851562,1.1345062255859375
93,NSRDB,405740,33.49,-107.74,2165,2015,1,4,21,30,473,6.122796630859398,50.488807678222656,64.60568112372027,231.2794189453125,1.249975323677063
94,NSRDB,405740,33.49,-107.74,2165,2015,1,4,22,30,309,3.8417907714843977,58.8470458984375,72.7139420387042,238.11386108398438,1.4085637331008911
95,NSRDB,405740,33.49,-107.74,2165,2015,1,4,23,30,116,0.9969116210937727,67.02690124511719,82.48927306955456,239.1315460205078,1.5562691688537598
